"Gene1","Gene2"
"CREBZF","CREBZF"
"FOXO1","FOXO1"
"CREBZF","SREBF1"
"FOXO1","SREBF1"
"SREBF1","SREBF1"
"SREBF1","SREBF2"
"SREBF2","SREBF2"
"SREBF1","THRB"
"THRB","THRB"
"SREBF1","MLXIPL"
"THRB","MLXIPL"
"RORB","RORB"
"FOXO1","IRS2"
"SREBF1","IRS2"
"SREBF2","KPNB1"
"SREBF1","SCD5"
"FOXO1","PKLR"
"SREBF1","PKLR"
"MLXIPL","PKLR"
"MLX","PKLR"
"SREBF1","ACLY"
"SREBF2","ACLY"
"SREBF1","ACSL1"
"SREBF2","ACSL1"
"SREBF1","CYP4F2"
"SREBF2","CYP4F2"
"CREBZF","ACACA"
"FOXO1","ACACA"
"SREBF1","ACACA"
"THRB","ACACA"
"MLXIPL","ACACA"
"SREBF1","FDFT1"
"SREBF2","FDFT1"
"FOXO1","SLC2A4"
"SREBF1","SLC2A4"
"MLXIPL","SLC2A4"
"SLC2A4RG","SLC2A4"
"SREBF1","FADS2"
"FOXO1","NPC1"
"SREBF1","NPC1"
"SREBF2","NPC1"
"SREBF1","LIPC"
"SREBF2","LIPC"
"FOXO1","SQLE"
"SREBF1","SQLE"
"SREBF2","SQLE"
"CREBZF","AP3B1"
"FOXO1","ACAT2"
"SREBF1","ACAT2"
"SREBF2","PON1"
"CREBZF","STK11"
"FOXO1","IDH1"
"SREBF1","IDH1"
"SREBF2","IDH1"
"FOXO6","IDH1"
"SREBF1","FDPS"
"SREBF2","FDPS"
"SREBF1","SLC27A5"
"FOXO1","SLC37A4"
"FOXO1","MRC1"
"SREBF2","PLA2G6"
"MLX","COL11A1"
"FOXO1","SLC16A1"
"SREBF1","HSD17B7"
"SREBF2","DHCR24"
"THRB","DHCR24"
"SREBF1","PCSK9"
"SREBF2","PCSK9"
"SREBF2","PRSS8"
"THRB","OPN1SW"
"RORB","OPN1SW"
"FOXO1","ADIPOR2"
"SREBF2","ABCA7"
"SREBF2","DDAH1"
"SREBF1","SLC25A1"
"ZNF224","SLC25A1"
"THRB","GPHA2"
"FOXO1","HMGCR"
"SREBF1","HMGCR"
"SREBF2","HMGCR"
"FOXO1","SPRY2"
"FOXO1","OSTN"
"FOXO1","PSMB8"
"FOXO1","ELOVL6"
"SREBF1","ELOVL6"
"MLXIPL","ELOVL6"
"SREBF1","G6PD"
"SREBF2","G6PD"
"RORB","KCNQ5"
"FOXO1","ADIPOR1"
"SREBF1","HMGCS1"
"SREBF2","HMGCS1"
"FOXO1","ELOVL5"
"SREBF1","ELOVL5"
"SREBF2","SRD5A2"
"FOXO1","LPIN2"
"SREBF2","AACS"
"SREBF1","THRSP"
"SREBF2","THRSP"
"THRB","THRSP"
"SREBF1","PNPLA3"
"MLXIPL","PNPLA3"
"SREBF1","SV2A"
"FOXO1","ANGPTL2"
"THRB","PFKP"
"FOXO1","ACSL5"
"SREBF1","ACSL5"
"THRB","OPN1MW"
"RORB","OPN1MW"
"FOXO1","CTSE"
"FOXO1","DGKA"
"MLXIPL","KHK"
"FOXO1","CTSV"
"SREBF1","CPE"
"SREBF1","GPX3"
"FOXO1","GALNT14"
"SREBF2","LRP1B"
"FOXO1","BCL2L13"
"SREBF1","ACSS2"
"SREBF2","ACSS2"
"SREBF1","MVK"
"SREBF2","MVK"
"SREBF2","PMVK"
"SREBF1","FADS1"
"SREBF1","GLYAT"
"FOXO1","ACADSB"
"FOXO1","ALPP"
"FOXO1","ATP8A1"
"FOXO1","B4GALT3"
"FOXO1","CNOT8"
"FOXO1","COL13A1"
"FOXO1","DAAM1"
"FOXO1","TCAF1"
"FOXO1","GPD2"
"FOXO1","HPD"
"FOXO1","HUS1"
"FOXO1","PHLPP1"
"FOXO1","PIGQ"
"FOXO1","PSMB6"
"FOXO1","NECTIN3"
"FOXO1","RARS1"
"FOXO1","RPIA"
"FOXO1","CAVIN2"
"FOXO1","TMEM47"
"FOXO1","TSPAN7"
"FOXO1","S1PR4"
"FOXO1","SERPINA4"
"SREBF1","ELOVL7"
"SREBF1","GOT2"
"SREBF1","SLC27A2"
"FOXO1","GCDH"
"FOXO1","NDNF"
"FOXO1","MCM3AP"
"SREBF1","hsa-miR-185"
"SREBF1","hsa-miR-613"
